match_id,stage,group,matchday,date,venue_id,team_a,team_b
G001,group,A,1,2026-06-11,AZT,MEX,RSA
G002,group,A,1,2026-06-11,AKR,KOR,CZE
G003,group,A,2,2026-06-18,MBZ,CZE,RSA
G004,group,A,2,2026-06-18,AKR,MEX,KOR
G005,group,A,3,2026-06-24,AZT,CZE,MEX
G006,group,A,3,2026-06-24,BBVA,RSA,KOR
G007,group,B,1,2026-06-12,BMO,CAN,BIH
G008,group,B,1,2026-06-13,LEVI,QAT,SUI
G009,group,B,2,2026-06-18,SOFI,SUI,BIH
G010,group,B,2,2026-06-18,BCP,CAN,QAT
G011,group,B,3,2026-06-24,BCP,SUI,CAN
G012,group,B,3,2026-06-24,LUM,BIH,QAT
G013,group,C,1,2026-06-13,GIL,BRA,MAR
G014,group,C,1,2026-06-13,MET,HAI,SCO
G015,group,C,2,2026-06-19,LIN,SCO,MAR
G016,group,C,2,2026-06-19,GIL,BRA,HAI
G017,group,C,3,2026-06-24,HRD,SCO,BRA
G018,group,C,3,2026-06-24,MBZ,MAR,HAI
G019,group,D,1,2026-06-12,SOFI,USA,PAR
G020,group,D,1,2026-06-13,BCP,AUS,TUR
G021,group,D,2,2026-06-19,LEVI,TUR,PAR
G022,group,D,2,2026-06-19,LUM,USA,AUS
G023,group,D,3,2026-06-25,SOFI,TUR,USA
G024,group,D,3,2026-06-25,LEVI,PAR,AUS
G025,group,E,1,2026-06-14,LIN,CIV,ECU
G026,group,E,1,2026-06-14,NRG,GER,CUW
G027,group,E,2,2026-06-20,BMO,GER,CIV
G028,group,E,2,2026-06-20,ARW,ECU,CUW
G029,group,E,3,2026-06-25,LIN,CUW,CIV
G030,group,E,3,2026-06-25,MET,ECU,GER
G031,group,F,1,2026-06-14,ATT,NED,JPN
G032,group,F,1,2026-06-14,BBVA,SWE,TUN
G033,group,F,2,2026-06-20,NRG,NED,SWE
G034,group,F,2,2026-06-20,BBVA,TUN,JPN
G035,group,F,3,2026-06-25,ATT,JPN,SWE
G036,group,F,3,2026-06-25,ARW,TUN,NED
G037,group,G,1,2026-06-15,SOFI,IRN,NZL
G038,group,G,1,2026-06-15,LUM,BEL,EGY
G039,group,G,2,2026-06-21,SOFI,BEL,IRN
G040,group,G,2,2026-06-21,BCP,NZL,EGY
G041,group,G,3,2026-06-26,LUM,EGY,IRN
G042,group,G,3,2026-06-26,BCP,NZL,BEL
G043,group,H,1,2026-06-15,HRD,KSA,URU
G044,group,H,1,2026-06-15,MBZ,ESP,CPV
G045,group,H,2,2026-06-21,HRD,URU,CPV
G046,group,H,2,2026-06-21,MBZ,ESP,KSA
G047,group,H,3,2026-06-26,NRG,CPV,KSA
G048,group,H,3,2026-06-26,AKR,URU,ESP
G049,group,I,1,2026-06-16,MET,FRA,SEN
G050,group,I,1,2026-06-16,GIL,IRQ,NOR
G051,group,I,2,2026-06-22,MET,NOR,SEN
G052,group,I,2,2026-06-22,LIN,FRA,IRQ
G053,group,I,3,2026-06-26,GIL,NOR,FRA
G054,group,I,3,2026-06-26,BMO,SEN,IRQ
G055,group,J,1,2026-06-16,ARW,ARG,ALG
G056,group,J,1,2026-06-16,LEVI,AUT,JOR
G057,group,J,2,2026-06-22,ATT,ARG,AUT
G058,group,J,2,2026-06-22,LEVI,JOR,ALG
G059,group,J,3,2026-06-27,ARW,ALG,AUT
G060,group,J,3,2026-06-27,ATT,JOR,ARG
G061,group,K,1,2026-06-17,NRG,POR,COD
G062,group,K,1,2026-06-17,AZT,UZB,COL
G063,group,K,2,2026-06-23,NRG,POR,UZB
G064,group,K,2,2026-06-23,AKR,COL,COD
G065,group,K,3,2026-06-27,HRD,COL,POR
G066,group,K,3,2026-06-27,MBZ,COD,UZB
G067,group,L,1,2026-06-17,BMO,GHA,PAN
G068,group,L,1,2026-06-17,ATT,ENG,CRO
G069,group,L,2,2026-06-23,GIL,ENG,GHA
G070,group,L,2,2026-06-23,BMO,PAN,CRO
G071,group,L,3,2026-06-27,MET,PAN,ENG
G072,group,L,3,2026-06-27,LIN,CRO,GHA
