team,championships,probability,probability_standard_error,probability_ci_low,probability_ci_high,simulations_used
Germany,5,0.1,0.042426406871192854,0.016844242532462014,0.18315575746753798,50
Senegal,4,0.08,0.03836665218650176,0.0048013617144565535,0.15519863828554345,50
United States,3,0.06,0.03358571124749333,0.0,0.12582799404508693,50
France,3,0.06,0.03358571124749333,0.0,0.12582799404508693,50
Japan,3,0.06,0.03358571124749333,0.0,0.12582799404508693,50
Belgium,3,0.06,0.03358571124749333,0.0,0.12582799404508693,50
Argentina,3,0.06,0.03358571124749333,0.0,0.12582799404508693,50
Croatia,3,0.06,0.03358571124749333,0.0,0.12582799404508693,50
Spain,2,0.04,0.027712812921102035,0.0,0.09431711332536,50
Morocco,2,0.04,0.027712812921102035,0.0,0.09431711332536,50
Brazil,2,0.04,0.027712812921102035,0.0,0.09431711332536,50
Turkiye,2,0.04,0.027712812921102035,0.0,0.09431711332536,50
Colombia,2,0.04,0.027712812921102035,0.0,0.09431711332536,50
England,2,0.04,0.027712812921102035,0.0,0.09431711332536,50
Mexico,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Korea Republic,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Switzerland,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Qatar,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Austria,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Jordan,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Netherlands,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Ecuador,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Uzbekistan,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Paraguay,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Ghana,1,0.02,0.01979898987322333,0.0,0.05880602015151773,50
Australia,0,0.0,0.0,0.0,0.0,50
Haiti,0,0.0,0.0,0.0,0.0,50
Scotland,0,0.0,0.0,0.0,0.0,50
Czechia,0,0.0,0.0,0.0,0.0,50
South Africa,0,0.0,0.0,0.0,0.0,50
Bosnia and Herzegovina,0,0.0,0.0,0.0,0.0,50
Canada,0,0.0,0.0,0.0,0.0,50
Cape Verde,0,0.0,0.0,0.0,0.0,50
Saudi Arabia,0,0.0,0.0,0.0,0.0,50
Uruguay,0,0.0,0.0,0.0,0.0,50
New Zealand,0,0.0,0.0,0.0,0.0,50
Egypt,0,0.0,0.0,0.0,0.0,50
IR Iran,0,0.0,0.0,0.0,0.0,50
Sweden,0,0.0,0.0,0.0,0.0,50
Tunisia,0,0.0,0.0,0.0,0.0,50
Ivory Coast,0,0.0,0.0,0.0,0.0,50
Curacao,0,0.0,0.0,0.0,0.0,50
Norway,0,0.0,0.0,0.0,0.0,50
Iraq,0,0.0,0.0,0.0,0.0,50
Algeria,0,0.0,0.0,0.0,0.0,50
DR Congo,0,0.0,0.0,0.0,0.0,50
Portugal,0,0.0,0.0,0.0,0.0,50
Panama,0,0.0,0.0,0.0,0.0,50
